館別,展覽名稱,展覽日期,展覽主題,展覽連結,展覽圖片,展覽地點,展覽時間,展覽類別,備註
國立故宮博物院,摶泥幻化—院藏陶瓷精華展,常設展,#陶瓷,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04000569&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04000569/34053249.jpg,"北部院區　第一展覽館201,205,207",,#陶瓷,
國立故宮博物院,慈悲與智慧—宗教雕塑藝術,常設展,#銅器,https://www.npm.gov.tw/Exhibition-Content.aspx?sno=04000459&l=1&type=&cat=,https://www.npm.gov.tw/NewFileAtt.ashx?name=exbitBig/04000459/34053221.jpg,北部院區　第一展覽館101,,#銅器,
台北當代藝術館,野草不服管,07 / 11Sat. - 09 / 20Sun.,,https://www.moca.taipei/tw/ExhibitionAndEvent/Info/%E9%87%8E%E8%8D%89%E4%B8%8D%E6%9C%8D%E7%AE%A1,https://www.moca.taipei/upload/2026_06_193/2026061914430353gg8mOiJ2.jpg,MoCA STUDIO,,,
台北當代藝術館,叢靈開始—黃怡嘉個展,09 / 12Sat. - 11 / 08Sun.,,https://www.moca.taipei/tw/ExhibitionAndEvent/Info/%E5%8F%A2%E9%9D%88%E9%96%8B%E5%A7%8B%E2%80%94%E9%BB%83%E6%80%A1%E5%98%89%E5%80%8B%E5%B1%95,https://www.moca.taipei/upload/2026_09_073/20260907101447qv3l92jWO2.jpg,MoCA Video,,,
台北當代藝術館,美術館之後,09 / 19Sat. - 12 / 31Thu.,,https://www.moca.taipei/tw/ExhibitionAndEvent/Info/%E7%BE%8E%E8%A1%93%E9%A4%A8%E4%B9%8B%E5%BE%8C,https://www.moca.taipei/upload/2026_08_253/202608251605134k7o3z6Mi1.jpg,,,,
華山1914文化創意產業園區,CHIIKAWA DAYS 台北特展,202607.04(六) - 202609.27(日),,https://www.huashan1914.com/w/huashan1914/exhibition_26061619433530946,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/%E8%8F%AF%E5%B1%B1_%E5%AE%98%E7%B6%B2%E9%A6%96%E5%9C%96_1920x1080px_26061619415485560.jpg,東2A館,,,
華山1914文化創意產業園區,星球樂園PLANET PARK-全境式互動樂園,202609.01(二) - 202609.30(三),,https://www.huashan1914.com/w/huashan1914/exhibition_25062714454943100,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/1920x1080_25070413552160477.jpg,東3A館,2:30 PM - 5:30 PM,,
華山1914文化創意產業園區,動漫最高祭 Anime Max Festival,202606.18(四) - 202609.13(日),,https://www.huashan1914.com/w/huashan1914/exhibition_26060620531407778,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/KV_%E8%8F%AF%E5%B1%B1%E5%AE%98%E7%B6%B2%E6%B4%BB%E5%8B%95%EF%BD%9C1920x1080.jpg,中7B館,11:00 AM - 7:00 PM,,
華山1914文化創意產業園區,流浪蓋婭號   WANDERING GAIA,202609.01(二) - 202609.30(三),,https://www.huashan1914.com/w/huashan1914/exhibition_24112018320160153,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/1200x800_24112018255398011.jpg,東3A館,2:30 PM - 5:30 PM,,
華山1914文化創意產業園區,《果子們 特展》,202607.01(三) - 202609.30(三),,https://www.huashan1914.com/w/huashan1914/exhibition_26070917023475337,https://media.huashan1914.com/WebUPD/huashan1914/exhibition/banner_%E6%B4%BB%E5%8B%95%E4%B8%BB%E8%A6%96%E8%A6%BA1920x1080_0.jpg,中4B館1F-3.4(芳釀所),11:00 AM - 9:00 PM,,
富邦美術館,古典光影大師: 林布蘭到哥雅─托雷多美術館珍藏展 I,2026.7.18 - 2026.10.19,,https://www.fubonartmuseum.org/ExhibitionDetail?PKNO=X008B01L,https://backend.fubonartmuseum.org/Data/FUBON/Images/Exhibition/X008B01L/PictureKeyVision/OM_%E5%AE%98%E7%B6%B2_desktop_2592x1458px.jpg,富邦美術館-1樓 水景展廳,,,
富邦美術館,富邦典藏展-共鳴： 光、愛與色彩的交響,2025.12.24 - 2026.12.31,,https://www.fubonartmuseum.org/ExhibitionDetail?PKNO=X00895NY,https://backend.fubonartmuseum.org/Data/FUBON/Images/Exhibition/X00895NY/PictureKeyVision/2025-GMC-BN_Desktop.jpg,富邦美術館-3樓 日光展廳,,,
富邦美術館,富邦典藏展-常玉,2025.12.24 - 2026.12.31,,https://www.fubonartmuseum.org/ExhibitionDetail?PKNO=X0087XPM,https://backend.fubonartmuseum.org/Data/FUBON/Images/Exhibition/X0087XPM/PictureKeyVision/2_2592%20x%201458.jpg,富邦美術館-3樓 星光展廳,,,
臺北市立美術館,共感：存在的節奏,2026/05/09 - 2026/09/20,,https://www.tfam.museum/Exhibition/Exhibition_Special.aspx?ddlLang=zh-tw&id=807,https://www.tfam.museum/File/Exhibition/Main/807/2026080409282153910771.png,一樓1A~1B,2026/05/09 - 2026/09/20,,
臺北市立美術館,王雅慧：旅行者,2026/09/12 - 2027/01/03,,https://www.tfam.museum/Exhibition/Exhibition_Special.aspx?ddlLang=zh-tw&id=813,https://www.tfam.museum/File/Exhibition/Main/813/2026081415005955910013.jpg,二樓2A~2B,2026/09/12 - 2027/01/03,,
臺北市立美術館,調：心境與聲景之間,2026/07/04 - 2026/09/27,,https://www.tfam.museum/Exhibition/Exhibition_Special.aspx?ddlLang=zh-tw&id=810,https://www.tfam.museum/File/Exhibition/Main/810/2026080409294260120408.jpg,三樓3A~3B,2026/07/04 - 2026/09/27,,
臺北市立美術館,鬱卒的平面：李亦凡／第61屆威尼斯國際美術雙年展台灣館,2026/05/09 - 2026/11/22,,https://www.tfam.museum/Exhibition/Exhibition_Special.aspx?ddlLang=zh-tw&id=805,https://www.tfam.museum/File/Exhibition/Main/805/2026031708235210900287.jpg,義大利威尼斯普里奇歐尼宮,2026/05/09 - 2026/11/22,,
臺北市立美術館,北美館開放網絡計畫 TFAM Net.Open│消失的反動,2025/09/19 - 2026/12/31,,https://www.tfam.museum/Exhibition/Exhibition_Special.aspx?ddlLang=zh-tw&id=800,https://www.tfam.museum/File/Exhibition/Main/800/2026080409335836690939.png,,2025/09/19 - 2026/12/31,,
國立臺灣師範大學-師大美術館,時光逆旅－文物修護的美學與實踐,2024/7/1（二）起,,https://www.artmuse.ntnu.edu.tw/index.php/elementor-10351/,https://www.artmuse.ntnu.edu.tw/wp-content/uploads/2025/07/文保官網EDM_A款_20250627-1024x683.jpg,師大美術館 展廳 4,2024/7/1（二）起,,
國立臺灣師範大學-師大美術館,共生之華—日本美術璀璨時代與臺灣之交會,2026/06/09 Tue.－2026/09/20 Sun.,,https://www.artmuse.ntnu.edu.tw/index.php/2026symbioticsplendor/,https://www.artmuse.ntnu.edu.tw/wp-content/uploads/2026/05/製作物_線上發布各尺寸圖0525_1536x1024-1024x683.png,師大美術館 展廳1、展廳2及展廳2+ (臺北市大安區和平東路一段129號 和平校區Ⅱ),2026/06/09 Tue.－2026/09/20 Sun.,,
